Key,"English, en-US","French, fr","Hindi (India), hi_IN","Romanian (Romania), ro_RO"
billingPeriod,"Billing period","Période de facturation","बिलिंग अवधि","Perioada de facturare"
blockedInfo,"Blocked from booking a class until {release} release date.","Bloqué(e) pour la réservation d'une classe jusqu'à la date de libération {release}.","{release} रिलीज़ तिथि तक कक्षा की बुकिंग से ब्लॉक है।","Blocat pentru rezervarea unei clase până la data de eliberare {release}"
bookings.noClasses,"No Classes Booked","Aucune classe réservée","कोई कक्षा बुक की गई नहीं है","Nici o clasa rezervata"
bookings.noData,"No bookings available","Aucune réservation disponible","कोई बुकिंग उपलब्ध नहीं है","Nu sunt rezervari disponibile"
browse,"Browse","Parcourir","ब्राउज़ करें","Cautare"
browseFiles,"Browse files","Parcourir les fichiers","फ़ाइल ब्राउज़ करें","Cautare fisiere"
button,"Button","Bouton","बटन","Buton"
cancel,"Cancel","Annuler","रद्द करें","Anuleaza"
cancelBooking,"Cancel","Annuler","रद्द करें","Anuleaza"
cancelDowngrade,"Cancel downgrade","Annuler la rétrogradation","डाउनग्रेड रद्द करें","Anuleaza downgrade"
cancelPlan,"Cancel plan","Annuler le plan","योजना रद्द करें"," Anuleaza plan"
capacity,"Capacity","Capacité","क्षमता","Capacitate"
cardDetails,"Card details","Détails de la carte","कार्ड विवरण","Detalii card"
cardNumber,"Card Number","Numéro de carte","कार्ड नंबर","Numara Card"
cart,"Cart","Panier","कार्ट","Cos"
cartInfo,"We will respond to this enquire via our messenger, please add any message to this enquiry.","Nous répondrons à cette demande via notre messagerie, veuillez ajouter un message à cette demande.","हम इस जांच का उत्तर हमारे मैसेंजर के माध्यम से देंगे, कृपया इस जांच के लिए कोई संदेश जोड़ें।","Vom raspunde la aceasta solicitare prin intermediul mesageriei noastre, te rog adauga orice mesaj la aceasta solicitare"
cash,"Cash","Espèces","नकद","Numerar"
changePlan,"Change Plan","Changer de forfait","योजना परिवर्तन","Schimba tipul de abonament"
city,"City","Ville","शहर","Oras"
class,"Class","Classe","कक्षा","Clasa"
classes.noBookings,"No Classes Booked","Aucun cours réservé","कोई कक्षाएँ बुक नहीं की गईं","Nici o clasa rezervata"
classes.noData,"No classes available","Aucun cours disponible","कोई कक्षाएँ उपलब्ध नहीं","Nici o clasa disponibila"
classSchedules.generalDesc,"Template class schedules will be use to changed bulk week class schedules.","Les horaires des cours modèles seront utilisés pour modifier les horaires des cours en vrac.","टेम्पलेट कक्षा अनुसूचियाँ बड़े हफ्ते की कक्षा अनुसूचियाँ बदलने के लिए प्रयुक्त होंगी।","Orarul șablon al cursurilor va fi folosit pentru a modifica orele de curs în masa săptămânal."
classSchedules.title,"Class schedules","Horaires des cours","कक्षा अनुसूचियाँ","Programul claselor"
clear,"Clear","Effacer","साफ़ करें","Sterge"
close,"Close","Fermer","बंद करें","Inchide"
closeAllDay,"Close all day","Fermer toute la journée","पूरे दिन बंद","Inchis toata ziua"
closeAt,"Close at","Fermer à","बंद होता है","Inchis la"
code,"Code","Code","कोड","Cod"
collectionsID,"Collections ID","ID des collections","संग्रहण आईडी","Colectare ID"
collectPayment,"Collect payment","Collecter le paiement","भुगतान जमा करें"," Colecteaza Plata"
completedByMember,"Completed by Member","Complété par le membre","सदस्य द्वारा पूरा किया गया","Completat de membru"
confirm,"Confirm","Confirmer","ठीक है","Confirm"
confirmPassword,"Confirm Password","Confirmer le mot de passe","पासवर्ड की पुष्टि करें","Confirma parola"
confirmPayment,"Confirm Payment","Confirmer le paiement","पैसे की पुष्टि करें","Confirma Plata"
connectYourBarcodeScanner,"Connect your barcode scanner.","Connectez votre scanner de codes-barres.","अपना बारकोड स्कैनर कनेक्ट करें।","Conectati scannerul de coduri de bare"
contactUs,"Contact us","Contactez-nous","हमसे संपर्क करें","Contactati-ne"
country,"Country","Pays","देश","Tara"
createNew,"Create new","Créer un nouveau","नया बनाएं","Creaza nou"
customBillingPeriod,"Custom billing period","Période de facturation personnalisée","अनुकूलित बिलिंग अवधि","Perioada personalizata de facturare"
cvcCardVerificationCode,"CVC (Card Verification Code)","CVC (Code de vérification de la carte)","CVC (कार्ड सत्यापन कोड)","CVC (Cod de Verificare al Cardului)"
date,"Date","Date","तारीख","Data"
dateRange,"Date: {from} - {to}","Date : {from} - {to}","तिथि: {from} - {to}","Data: {from} - {to}"
day,"Day","Jour","दिन","Zi"
default,"Default","Défaut","डिफ़ॉल्ट","Default"
delete,"Delete","Supprimer","हटाएँ","Sterge"
description,"Description","Description","विवरण","Descriere"
dialog.cancel.discard,"Continue editing","Continuer l'édition","संपादन जारी रखें","Continuati sa editati"
dialog.info.alreadyBooked,"Member already booked a slot for this class!","Le membre a déjà réservé une place pour ce cours!","सदस्य ने पहले से ही इस कक्षा के लिए स्थान बुक कर लिया है!","Membru a rezervat deja un loc pentru aceasta clasa!"
dialog.info.cancel,"Are you sure you want to cancel?","Êtes-vous sûr(e) de vouloir annuler?","क्या आप वाकई इसे रद्द करना चाहते हैं?","Sunteti sigur ca doriti sa anulati?"
dialog.info.delete,"Are you sure you want to delete this {module}?","Êtes-vous sûr de vouloir supprimer ce {module}?","क्या आप सुनिश्चित हैं कि आप इस {module} को हटाना चाहते हैं?","Sunteti sigur ca doriti sa stergeti acest lucru {module}?"
dialog.info.deleteSelected,"Are you sure you want to delete selected {module}?","Êtes-vous sûr de vouloir supprimer les {module} sélectionnés?","क्या आप सुनिश्चित हैं कि आप चयनित {module} को हटाना चाहते हैं?","Sunteti sigur ca doriti sa stergeti selectia {module}?"
dialog.info.discard,"If you discard changes, you will delete any edits you made since you last saved.","Si vous abandonnez les modifications, vous supprimerez toutes les éditions que vous avez faites depuis votre dernière sauvegarde.","अगर आप बदलाव छोड़ते हैं, तो आपके द्वारा पिछले सहेजने के बाद किए गए किसी भी संपादन को हटा दिया जाएगा।","Daca renuntati la modificari, veti sterge orice editari pe care le-ati facut de la ultima salvare"
dialog.info.forceDelete,"Are you sure you want to permanently delete this {module}?","Êtes-vous sûr de vouloir supprimer définitivement ce {module}?","क्या आप सुनिश्चित हैं कि आप इस {module} को स्थायी रूप से हटाना चाहते हैं?","Sunteti sigur ca doriti sa stergeti permanent acest lucru {module}?"
dialog.info.forceDeleteSelected,"Are you sure you want to permanently delete selected {module}?","Êtes-vous sûr de vouloir supprimer définitivement les {module} sélectionnés?","क्या आप सुनिश्चित हैं कि आप चयनित {module} को स्थायी रूप से हटाना चाहते हैं?","Suntetri sigur ca doriti sa stergeti permanent selectia {module}?"
dialog.info.lateCancel,"Your class will be cancelled and tagged as a late cancellation.","Votre cours sera annulé et marqué comme une annulation tardive.","आपकी कक्षा रद्द कर दी जाएगी और इसे एक देर से रद्द करने के रूप में चिह्नित किया जाएगा।","Clasa ta va fi anulata si marcata ca o anulare tarzie"
dialog.info.noSlotAvailable,"Slots are not available for selected class schedule! Please contact reception for standby places.","Les créneaux horaires ne sont pas disponibles pour l'horaire de classe sélectionné! Veuillez contacter la réception pour les places en liste d'attente.","चयनित कक्षा समय सारणी के लिए स्लॉट उपलब्ध नहीं हैं! कृपया प्राप्ति के लिए स्थान प्राप्त करने के लिए सुप्रभात करें।","Nu sunt disponibile locuri pentru programul de curs selectat! Va rugam sa contactati receptia pentru locurile pe lista de asteptare"
dialog.info.remove,"Are you sure you want to remove?","Êtes-vous sûr de vouloir supprimer?","क्या आप सुनिश्चित हैं कि आप हटाना चाहते हैं?","Sunteti sigur ca doriti sa eliminati?"
dialog.info.reset,"This action can't be undone. You have unsaved edits that you will lose.","Cette action ne peut pas être annulée. Vous avez des modifications non enregistrées que vous perdrez.","इस क्रिया को वापस नहीं किया जा सकता है। आपके पास असहेजीते संपादन हैं जिन्हें आप खो देंगे।","Aceasta actiune nu poate fi anulata. Aveti modificari nesalvate pe care le veti pierde"
dialog.info.restore,"Are you sure you want to restore this {module}?","Êtes-vous sûr de vouloir restaurer ce {module}?","क्या आप सुनिश्चित हैं कि आप इस {module} को पुनर्स्थापित करना चाहते हैं?","Sunteti sigur ca doriti sa restaurati acest lucru? {module}?"
dialog.info.restoreSelected,"Are you sure you want to restore selected {module}?","Êtes-vous sûr de vouloir restaurer les {module} sélectionnés?","क्या आप सुनिश्चित हैं कि आप चयनित {module} को पुनर्स्थापित करना चाहते हैं?","Sunteti sigur ca doriti sa restaurati selectia {module}?"
dialog.info.userAlreadyBooked,"Class schedule already booked by you!","Horaire de cours déjà réservé par vous!","कक्षा का शेड्यूल आपके द्वारा पहले ही बुक कर लिया गया है!","Programul clasei a fost deja rezervat de catre dumneavoastra!"
dialog.info.warning,"Are you sure you want to delete?","Etes-vous sûr que vous voulez supprimer?","क्या आप आश्वस्त है कि आपको डिलीट करना है?","Sunteti sigur ca doriti sa stergeti?"
dialog.ok.discard,"Discard changes","Abandonner les modifications","बदलाव छोड़ें","Anulati schimbarile"
dialog.title.cancel,"Please Confirm","Veuillez confirmer","कृपया पुष्टि करें","Va rog confirmati"
dialog.title.discard,"Discard all unsaved changes?","Abandonner toutes les modifications non enregistrées?","सभी असहेजीते बदलाव छोड़ें?","Anuleaza toate schimbarile nesalvate?"
dialog.title.error,"Error","Erreur","त्रुटि","Eroare"
dialog.title.payment,"Payment required!","Paiement requis!","भुगतान आवश्यक है!","Plata necesara"
dialog.title.paymentAuthenticationFailure,"Payment Authentication Failure","Échec de l'authentification du paiement","भुगतान प्रमाणीकरण विफल","Autentificare plata esuata"
dialog.title.paymentFailed,"Payment Failed","Échec du paiement","भुगतान विफल","Plata esuata"
dialog.title.reset,"Reset all changes","Réinitialiser toutes les modifications","सभी बदलाव रीसेट करें","Reseteaza toate schimbarile"
dialog.title.success,"Success","Succès","सफलता","Succes"
dialog.title.warning,"Warning","Attention","सावधान","Avertizare"
discard,"Discard","Abandonner","छोड़ दें","Discard"
document,"Document","Document","दस्तावेज़","Document"
documentDialogMessage,"New document waiting for you!","Nouveau document en attente pour vous!","आपके लिए एक नया दस्तावेज़ है!","Un nou document va asteapta!"
documents,"Documents","Documents","दस्तावेज़","Documente"
done,"Done","Terminé","हो गया","Terminat"
donTHaveAnAccount,"Don't have an account?","Vous n'avez pas de compte?","कोई खाता नहीं है?","Nu ai cont?"
email,"Email","E-mail","ईमेल","E-mail"
emailAddress,"Email Address","Adresse e-mail","ईमेल पता","Adresa E-mail"
embedVideo,"Embed video","Intégrer une vidéo","वीडियो एम्बेड करें","Adauga video"
emergencyContactNumber,"Emergency Contact Number","Numéro de contact d'urgence","आपात्कालीन संपर्क नंबर","Numar de contact pentru situatii de urgenta"
endAt,"End at","Se termine à","समाप्त होता है","Sfarseste la"
endsAt,"Ends At","Se termine à","समाप्त होता है","Sfarseste la"
enquiries.activityDesc,"With activity, you can view detailed histories and write reply for enquiry.","Avec l'activité, vous pouvez consulter les historiques détaillés et rédiger une réponse aux demandes.","क्रियात्मकता के साथ, आप विस्तृत इतिहास देख सकते हैं और पूछताछ के लिए उत्तर लिख सकते हैं।","Prin intermediul functiei de activitate, puteti examina istoricul detaliat si raspunde la solicitari"
enquiries.noData,"No messages available","Aucun message disponible","कोई संदेश उपलब्ध नहीं है","Nu sunt mesaje disponibile"
enquiry.noData,"No enquiry available","Aucune demande disponible","कोई पूछताछ उपलब्ध नहीं है","Nu exista nici o cerere disponibila"
exercisePlanner.noData,"No exercise planner available","Aucun planificateur d'exercices disponible","कोई व्यायाम योजक उपलब्ध नहीं है","Nu este disponibil un planificator de exercitii"
expiryDate,"Expiry Date","Date d'expiration","समाप्ति तिथि","Data expirata"
features,"Features","Fonctionnalités","विशेषताएँ","Functionalitati"
fileEditor.alt.info,"Alt text (alternative text) to media is first and foremost a principle of web accessibility. Visually impaired users using screen readers will be read an alt attribute to better understand an on-page image.","Le texte alternatif (ou texte de remplacement) pour les médias est avant tout un principe d'accessibilité Web. Les utilisateurs malvoyants qui utilisent des lecteurs d'écran liront un attribut alt pour mieux comprendre une image affichée sur la page.","मीडिया के लिए एल्ट टेक्स्ट (वैकल्पिक टेक्स्ट) पहले और सबसे अधिक वेब पहुँचयता का एक सिद्धांत है। दृष्टिहीन उपयोगकर्ता जो स्क्रीन रीडर का उपयोग करते हैं, वेब पृष्ठ पर दिखाई गई छवि को बेहतर रूप से समझने के लिए एक एल्ट विशेषता को पढ़ेंगे।","Textul alternativ (text alternativ) pentru media este în primul rând un principiu al accesibilității web. Utilizatorii cu deficiențe de vedere care folosesc cititoare de ecran vor primi citirea unui atribut ""alt"" pentru a înțelege mai bine o imagine de pe pagină"
fileEditor.alt.title,"Alt text","Texte alternatif (Alt)","एल्ट टेक्स्ट (Alt टेक्स्ट)","Alt text"
fileEditor.crop.options.16:9,"16:9","16:9","16:9","16:9"
fileEditor.crop.options.4:3,"4:3","4:3","4:3","4:3"
fileEditor.crop.options.5:7,"5:7","5:7","5:7","5:7"
fileEditor.crop.options.Freeform,"Freeform","Forme libre","मुक्तरूप","Forma libera"
fileEditor.crop.options.Square,"Square","Carré","वर्ग","Patrat"
fileEditor.crop.title,"Crop ratio","Rapport de recadrage","क्रॉप अनुपात","Raport de taiere"
fileEditor.flip.title,"Flip image","Retourner l'image","छवि को फ्लिप करें","Inverseaza imaginea"
fileEditor.rotate.title,"Rotate image","Faire pivoter l'image","छवि को घुमाएं (रोटेट करें)","Roteste imaginea"
fileUploader.addPhoto,"Add photo","Ajouter une photo","फ़ोटो जोड़ें","Adauga poza"
fileUploader.embedVideo,"Embed video","Intégrer une vidéo","वीडियो एम्बेड करें","Incorporati video"
fileUploader.info,"Drag and drop files here","Glisser-déposer des fichiers ici","फ़ाइलें यहाँ खींचें और छोड़ें","trage si plaseaza"
fileUploader.or,"or","ou","या","Sau"
fileValidation,"{count} file(s) did not pass validation constraints","{count} fichier(s) n'ont pas passé les contraintes de validation.","{count} फ़ाइल(फाइलें) मान्यता परीक्षण की सीमाओं को पार नहीं करीं।","{count} Fisierul(ele) nu a indeplinit restrictiile de validare."
firstName,"First Name","Prénom","पहला नाम","Prenume"
fitnessQuote,"Strength does not come from what you can do; it comes from overcoming the things you once thought you couldn't.","La force ne vient pas de ce que vous pouvez faire, elle vient du fait de surmonter les choses que vous pensiez ne pas pouvoir faire.","शक्ति वो नहीं आती जो आप कर सकते हैं, वो आती है जो आपको वो काम करने की हिम्मत दिलाती है जिन्हें आप पहले कभी नहीं सोचते थे।",
forgotPassword,"Forgot Password.","Mot de passe oublié.","पासवर्ड भूल गए।","Am uitat parola"
forgotPasswordDesc,"Forgot your password? Not to worry!<br />Simply enter your email address below and our system will send you a password reset email.","Mot de passe oublié? Ne vous inquiétez pas !<br />Entrez simplement votre adresse e-mail ci-dessous et notre système vous enverra un e-mail de réinitialisation de mot de passe.","अपना कूट शब्द भूल गए? चिंता की कोई बात नहीं!<br />बस नीचे अपना ईमेल पता दर्ज करें और हमारा सिस्टम आपको एक पासवर्ड रीसेट ईमेल भेजेगा।","Ai uitat parola? Fara griji!<br />Introdu doar adresa ta de email mai jos si sistemul nostru iti va trimite un email pentru resetarea parolei"
forgottenPassword,"Forgotten password?","Mot de passe oublié?","भूल गए पासवर्ड?","Ai uitat parola?"
friendInformation,"Friend information","Informations sur l'ami","मित्र जानकारी","Informații despre prieten"
generalInformation,"General information","Informations générales","सामान्य जानकारी","Informatii generale"
goBack,"Go Back","Retourner","वापस जाएं","Inapoi"
goHome,"Go Home","Accueil","घर जाएं","Acasă"
goodAfternoon,"Good afternoon, {name}","Bonjour, {name}","शुभ दोपहर, {name}",
goodEvening,"Good evening, {name}","Bonsoir, {name}","शुभ संध्या, {name}",
goodMorning,"Good morning, {name}","Bonjour, {name}","सुप्रभात, {name}",
groups.noData,"No group available","Aucun groupe disponible","कोई समूह उपलब्ध नहीं"," Nici un grup disponibil"
groupsAndPermissions,"Groups and Permissions","Groupes et autorisations","समूह और अनुमतियाँ","Grupuri și permisiuni"
guestInformation,"Guest information","Informations sur les invités","अतिथि जानकारी","Informatii Guest"
guestPasses.noData,"No guest passes available","Aucun laissez-passer invité disponible","कोई अतिथि पास उपलब्ध नहीं है","Nu sunt disponibile invitatii pentru Guest"
hint.billing,"Manage your payments, view your billing history, and keep track of your subscription status all in one centralized location.","Gérez vos paiements, consultez l'historique de facturation et suivez l'état de votre abonnement, le tout dans un seul endroit centralisé.","अपने भुगतानों को प्रबंधित करें, अपना बिलिंग इतिहास देखें, और अपनी सदस्यता स्थिति का पता रखें, सभी एक ही केंद्रीकृत स्थान पर।","Administreaza platile tale, vezi istoricul facturilor si tine evidenta starii abonamentului tau, toate intr-o singura locatie centralizata"
hint.endsAt,"Membership will be deactivate on the date.","L'adhésion sera désactivée à la date.","सदस्यता तिथि पर निष्क्रिय कर दी जाएगी।","Abonamentul va fi dezactivat la data respectiva"
hint.features.classes,"Maximum classes can be booked and join.","Le nombre maximum de cours pouvant être réservés et suivis.","अधिकतम कक्षाएँ बुक की जा सकती हैं और जुड़ सकती हैं।","Se pot rezerva si participa la maximum de cursuri"
hint.features.guestPass,"Allows non-members to try out the gym or studio facilities","Permet aux non-membres d'essayer les installations de la salle de sport ou du studio.","अन-सदस्यों को जिम या स्टूडियो सुविधाओं का आजमाने की अनुमति है।","Permite non-membrilor sa incerce facilitatile salii de sport sau ale studioului"
hint.images,"You can only choose images as {type}","Vous ne pouvez choisir que des images en tant que {type}.","आप केवल {type} के रूप में छवियाँ चुन सकते हैं।","Puteti alege doar imagini ca {type}"
hint.member,"Manage account information, change their subscription plan, and update billing information.","Gérer les informations du compte, changer leur plan d'abonnement et mettre à jour les informations de facturation.","खाता जानकारी प्रबंधित करें, उनकी सदस्यता योजना बदलें, और बिलिंग जानकारी अपडेट करें।","Administreaza informatiile contului, schimba planul de abonament si actualizeaza informatiile de facturare"
hint.pdfs,"You can only choose pdfs as {type}","Vous ne pouvez choisir que des fichiers PDF en tant que {type}.","आप केवल {type} के रूप में पीडीएफ़ चुन सकते हैं।","Puteti alege doar fisiere PDF ca {type}"
hint.plan,"Once the plan is created, {field} cannot be changed.","Une fois le plan créé, {field} ne peut pas être modifié.","एक बार योजना बनाई जाती है, {field} को बदला नहीं जा सकता।","Odată ce planul este creat, {field} nu poate fi schimbat"
hint.priceChange,"Price changes will become effective on next renewal date.","Les changements de tarif prendront effet à la prochaine date de renouvellement.","मूल्य परिवर्तन अगली नवीकरण तिथि पर प्रभावी होंगे।","Schimbarile de pret vor deveni efective la urmatoarea data de reinnnoire"
hint.subscription,"The subscription page allows you to easily upgrade or cancel their subscription, view payment history and subscription details. It's a hassle-free and user-friendly way to manage your subscription in one convenient location.","La page d'abonnement vous permet de mettre à niveau ou d'annuler facilement votre abonnement, de consulter l'historique des paiements et les détails de l'abonnement. C'est un moyen sans tracas et convivial de gérer votre abonnement en un seul endroit pratique.","सदस्यता पृष्ठ आपको आसानी से अपनी सदस्यता को अपग्रेड या रद्द करने, भुगतान इतिहास और सदस्यता विवरण देखने की अनुमति देता है। यह एक सुविधाजनक स्थान पर अपनी सदस्यता को प्रबंधित करने के लिए एक बिना दिक्कत का और उपयोगकर्ता-मित्रिता तरीका है।","Pagina de abonare iti permite sa faci upgrade sau sa anulezi cu usurinta abonamentul, sa vezi istoricul platilor si detalii despre abonament. Este o modalitate lipsita de complicatii si prietenoasa cu utilizatorul de a-ti gestiona abonamentul intr-o singura locatie convenabila"
horizontal,"Horizontal","Horizontal","क्षैतिज","Orizontal"
hoursPW,"Hours PW","Heures par semaine","प्रति सप्ताह की घंटे","Ore pe saptamana"
iAccept,"I Accept","J'accepte","मैं स्वीकार करता हूँ","Accept"
instructor,"Instructor","Instructeur","शिक्षक","Instructor"
instructors.noData,"No instructors available","Aucun instructeur disponible","कोई प्रशिक्षक उपलब्ध नहीं है","Nici un instructor disponibil"
insurance,"Insurance","Assurance","बीमा","Asigurare"
invoices.historyDesc,"View and manage all your past invoices in one convenient location.","Consultez et gérez toutes vos factures passées en un seul endroit pratique.","एक साथ अपने पिछले सभी चालानों को देखें और प्रबंधित करें एक ही सुविधाजनक स्थान पर।","Vizualizeaza si administreaza toate facturile tale anterioare într-o singura locatie convenabila"
invoices.historyTitle,"Invoice History","Historique des factures","चालान इतिहास","Istorie factura"
invoices.noData,"You have no invoices to display at the moment. Once you receive an invoice, it will appear here.","Vous n'avez aucune facture à afficher pour le moment. Une fois que vous recevez une facture, elle apparaîtra ici.","आपके पास इस समय प्रदर्शित करने के लिए कोई चालान नहीं है। जब आपको एक चालान मिलता है, तो यह यहां प्रदर्शित होगा।","Nu aveti facturi de afisat in acest moment. Odata ce primiti o factura, aceasta va aparea aici"
invoices.viewLabel,"View invoice","Voir la facture","चालान देखें","Vizualizează factura."
isInstructor,"Is a Instructor","Est un Instructeur","प्रशिक्षक है",
keyFob,"Key Fob","Badge","कुंजी फॉब","Badge"
label.active,"Active","Actif","सक्रिय","Activ"
label.addAnnouncement,"Add announcement","Ajouter une annonce","घोषणा जोड़ें","Adauga anunt"
label.addClass,"Add class","Ajouter un cours","कक्षा जोड़ें","Adauga clasa"
label.addEnquiry,"Add enquiry","Ajouter une demande","पूछताछ जोड़ें","Adauga intrebare"
label.addExercisePlan,"Add exercise plan","Ajouter un plan d'exercices","व्यायाम योजना जोड़ें","Adauga plan de exercitii"
label.addGroup,"Add group","Ajouter un groupe","समूह जोड़ें","Adauga grup"
label.addGuestPass,"Add guest pass","Ajouter un pass invité","अतिथि पास जोड़ें","Adauga invitatie Guest"
label.addGym,"Add gym","Ajouter gym","जिम जोड़ें","Adauga gym"
label.addInstructor,"Add instructor","Ajouter un instructeur","प्रशिक्षक जोड़ें","Adauga instructor"
label.addLocation,"Add location","Ajouter un emplacement","स्थान जोड़ना","Adauga locatie"
label.addMember,"Add member","Ajouter un membre","सदस्य जोड़ें","Adauga membru"
label.addOffer,"Add offer","Ajouter une offre","प्रस्ताव जोड़ें","Adauga oferta"
label.addPlan,"Add plan","Ajouter un plan","योजना जोड़ें","Adauga plan"
label.addProduct,"Add product","Ajouter un produit","उत्पाद जोड़ें","Adauga produs"
label.addStaff,"Add staff","Ajouter du personnel","स्टाफ जोड़ें","Adauga Staff"
label.addTemplate,"Add template","Ajouter un modèle","टेम्पलेट जोड़ें","Adauga sablon"
label.admin,"Admin","Administrateur","एडमिन","Admin"
label.all,"All","Tous","सभी","Tot"
label.amount,"Amount","Montant","रकम","Suma"
label.archive,"Archive","Archive","पुरालेख","Arhiva"
label.archived,"Archived","Archivé","पुरालेखित","Arhivat"
label.assigned,"Assigned","Assigné","निरुपित","Alocat"
label.at,"AT (%)","AT (%)","एटी (%)","AT (%)"
label.attendance,"Attendance","Assiduité","उपस्थिति","Prezenta"
label.attended,"Attended","Participé","उपस्थित हुए","Participat"
label.autoDetect,"Auto Detect","Détection Auto","ऑटो का पता लगाने","Detectare auto"
label.blocked,"Blocked","Bloqué","अवरोधित","Blocat"
label.bookAClass,"Book a Class","Réserver un cours","कक्षा बुक करें","rezerva o clasa"
label.canceledAt,"Canceled at","Annulé à","पर रद्द किया गया","Anulat la"
label.cancelled,"Cancelled","Annulé","रद्द","Anulat"
label.capacity,"Capacity","Capacité","क्षमता","Capacitate"
label.capacity,"Capacity (%)","Capacité (%)","क्षमता (%)","Capacitate (%)"
label.checked,"Checked","Coché","चेक किए गए","Verificat"
label.class,"Class","Cours","कक्षा","Clasa"
label.class,"Class","Classe","कक्षा","Clasa"
label.classes,"Classes","Cours","कक्षाएं","Clase"
label.classesBooked,"Classes Booked","Cours réservés","बुक की गई कक्षाएँ","Clasa rezervata"
label.className,"Class Name","Nom de classe","कक्षा का नाम","Nume clasa"
label.closeAt,"Close at","Fermé à","पर बंद करें","Inchis la"
label.closeAt,"Close at","Fermer à","पर बंद करें","Se inchide la"
label.contact,"Contact","Contacter","संपर्क","Contact"
label.contactForm,"Contact form","Formulaire de contact","संपर्क करें प्रपत्र","Formular contact"
label.cost,"Cost","Coût","लागत","Cost"
label.created,"Created","Créé","बनाया था","Creat"
label.createdAt,"Created at","Créé à","पर बनाया गया","Creat la"
label.createdBy,"Created by","Créé par","के द्वारा बनाई गई","Creat de"
label.createMessage,"Create message","Créer un message","संदेश बनायें","Creaza mesaj"
label.createTask,"Create task","Créer une tâche","कार्य बनाएँ","Creaza task"
label.custom,"Custom","Personnalisé","रिवाज़","Personalizat"
label.daily,"Daily","Quotidien","दैनिक","Zilnic"
label.dailyReports,"Daily Reports","Rapports journaliers","दैनिक रिपोर्ट","Raport zilnic"
label.date,"Date","Date","तारीख","Data"
label.day,"Day","Jour","दिन","Zi"
label.deactive,"Deactive","Désactivé","अक्रिय","Deactivat"
label.default,"Default","Défaut","डिफ़ॉल्ट","Default"
label.delete,"Delete","Supprimer","हटाएँ","Sterge"
label.description,"Description","Description","विवरण","Descriere"
label.documents,"Documents","Documents","दस्तावेजों","Documente"
label.duplicate,"Duplicate","Dupliquer","डुप्लिकेट","Duplicat"
label.edit,"Edit","Éditer","संपादित करें","Editeaza"
label.email,"Email","E-mail","ईमेल","E-mail"
label.endAt,"End at","Termine à","पर समाप्त","Se termina la"
